N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,9.309635,0.896818,0.030956,0.130481,0.022967,9.069102,0.013371
1350,30.191232,0.896818,0.036666,0.192501,0.030435,29.886925,0.014129
1800,71.119835,0.896818,0.042046,0.254858,0.037328,70.758385,0.017629
2250,135.656558,0.896818,0.046533,0.315092,0.048673,135.212003,0.015001
2700,232.094250,0.896818,0.050601,0.370438,0.049124,231.590201,0.014776
3150,365.254250,0.896818,0.055741,0.432083,0.061149,364.605206,0.014275
3600,549.120432,0.896818,0.060674,0.485934,0.064767,548.462999,0.015631
4050,778.539679,0.896818,0.066756,0.543185,0.074623,777.796384,0.018221
4500,1046.951200,0.896818,0.067607,0.599820,0.075352,1046.171510,0.017811
4950,1376.506367,0.896818,0.076160,0.661025,0.081632,1375.561804,0.022500
5400,1784.841241,0.896818,0.078166,0.725490,0.090117,1783.810218,0.021379
