N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,8.233842,0.896818,0.082749,0.151114,0.041728,7.869789,0.033140
1350,24.904682,0.896818,0.083658,0.207441,0.056206,24.493136,0.038072
1800,59.660070,0.896818,0.082839,0.267931,0.054585,59.135350,0.037968
2250,114.978008,0.896818,0.077239,0.323165,0.062521,114.461111,0.034089
2700,193.764449,0.896818,0.089430,0.379936,0.067596,193.121846,0.039682
3150,303.864951,0.896818,0.096185,0.444198,0.071126,302.927021,0.034147
3600,454.339660,0.896818,0.097146,0.501040,0.079660,453.586926,0.037969
4050,638.340774,0.896818,0.103350,0.556933,0.086447,637.267876,0.035261
4500,866.142830,0.896818,0.107543,0.613238,0.095684,865.240376,0.043265
4950,1122.736741,0.896818,0.113685,0.676133,0.101009,1121.464145,0.047686
5400,1460.170601,0.896818,0.114447,0.732855,0.106662,1459.123496,0.043974
