N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,9.209871,0.896818,0.010967,0.209808,0.023842,8.961916,0.001907
1350,30.081034,0.896818,0.016928,0.315905,0.035763,29.709101,0.002861
1800,70.954800,0.896818,0.022888,0.420809,0.047684,70.458889,0.003815
2250,135.380030,0.896818,0.027895,0.524998,0.059843,134.758949,0.004053
2700,231.768131,0.896818,0.033855,0.627995,0.072002,231.024742,0.005722
3150,364.728928,0.896818,0.039816,0.734806,0.083923,363.857985,0.005960
3600,548.599958,0.896818,0.045776,0.838995,0.095844,547.610760,0.006914
4050,777.684212,0.896818,0.051022,0.939131,0.107765,776.575327,0.008821
4500,1046.113968,0.896818,0.057220,1.054049,0.119686,1044.870138,0.010014
4950,1374.974012,0.896818,0.062943,1.157999,0.131845,1373.608112,0.010014
5400,1783.043146,0.896818,0.068903,1.252890,0.143766,1781.563759,0.010967
