N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,6.360334,0.896818,0.021541,0.125028,0.020990,6.124200,0.008645
1350,22.611665,0.896818,0.028716,0.183351,0.024738,22.246570,0.008187
1800,46.458948,0.896818,0.030465,0.242643,0.032294,46.127032,0.008411
2250,86.346857,0.896818,0.035435,0.295685,0.040246,85.811083,0.008994
2700,158.409367,0.896818,0.039375,0.355423,0.043100,157.951284,0.010359
3150,233.382850,0.896818,0.040962,0.412033,0.051542,232.823822,0.010533
3600,353.280120,0.896818,0.047167,0.468847,0.057985,352.454620,0.011217
4050,481.478463,0.896818,0.056845,0.529251,0.065752,480.264944,0.012075
4500,655.127606,0.896818,0.056287,0.583760,0.069005,654.116311,0.012001
4950,860.268643,0.896818,0.065555,0.641061,0.076799,859.129723,0.012816
5400,1106.040800,0.896818,0.070963,0.699754,0.086913,1104.787827,0.017931
